hour,bus_id,demandP,demandQ
1,1,227.187928719,22.718792871900003
2,1,218.18704020900003,21.818704020900004
3,1,212.89263111600002,21.289263111600004
4,1,210.85662227400002,21.085662227400004
5,1,212.41703831700002,21.241703831700004
6,1,218.33639993100002,21.833639993100004
7,1,234.61267911000002,23.461267911000004
8,1,261.709677096,26.170967709600003
9,1,296.47904817000006,29.647904817000008
10,1,315.85650684,31.585650684
11,1,324.47220448800005,32.4472204488
12,1,325.56488877000004,32.55648887700001
13,1,315.06254200200004,31.506254200200004
14,1,328.009671588,32.8009671588
15,1,330.953630319,33.0953630319
16,1,331.71615100500003,33.171615100500006
17,1,333.08004109800004,33.3080041098
18,1,326.29596530400005,32.62959653040001
19,1,320.99762569200004,32.0997625692
20,1,317.082828768,31.708282876800002
21,1,310.11794910000003,31.011794910000006
22,1,295.873748244,29.5873748244
23,1,280.71766698000005,28.071766698000005
24,1,271.504530444,27.150453044400003
1,2,201.448103001,20.1448103001
2,2,193.466992711,19.3466992711
3,2,188.772426964,18.8772426964
4,2,186.96709284599999,18.6967092846
5,2,188.350717643,18.8350717643
6,2,193.599430349,19.3599430349
7,2,208.03164769,20.803164769000002
8,2,232.058623384,23.2058623384
9,2,262.88871143,26.288871143
10,2,280.07075236,28.007075236
11,2,287.710312952,28.7710312952
12,2,288.67919882999996,28.867919883
13,2,279.366741758,27.9366741758
14,2,290.84699385199997,29.084699385199997
15,2,293.457409401,29.3457409401
16,2,294.13353839499996,29.413353839499997
17,2,295.342903142,29.534290314200003
18,2,289.327446216,28.9327446216
19,2,284.629395268,28.4629395268
20,2,281.158135072,28.115813507200002
21,2,274.9823589,27.498235890000004
22,2,262.35199047599997,26.2351990476
23,2,248.91305541999998,24.891305541999998
24,2,240.743744276,24.074374427600002
1,3,257.583451584,25.7583451584
2,3,247.378332224,24.7378332224
3,3,241.375582976,24.137558297600002
4,3,239.067176064,23.9067176064
5,3,240.836360512,24.083636051200003
6,3,247.54767481599998,24.7547674816
7,3,266.00156096,26.600156096000003
8,3,296.723872256,29.6723872256
9,3,336.14504511999996,33.614504511999996
10,3,358.11501824,35.811501824
11,3,367.88341196799996,36.7883411968
12,3,369.12228672,36.912228672
13,3,357.214828672,35.7214828672
14,3,371.89415756799997,37.189415756799995
15,3,375.231989184,37.5231989184
16,3,376.09652768,37.609652768000004
17,3,377.642892928,37.7642892928
18,3,369.951174144,36.9951174144
19,3,363.94396851199997,36.3943968512
20,3,359.505410048,35.9505410048
21,3,351.60869759999997,35.16086976
22,3,335.458761984,33.5458761984
23,3,318.27494528,31.827494528000003
24,3,307.829181184,30.7829181184
1,4,152.022641304,15.2022641304
2,4,145.999703144,14.5999703144
3,4,142.456953056,14.245695305600002
4,4,141.094559184,14.1094559184
5,4,142.13871047199999,14.2138710472
6,4,146.09964709599998,14.6099647096
7,4,156.99090776,15.699090776
8,4,175.122844736,17.5122844736
9,4,198.38874471999998,19.838874472
10,4,211.35515744,21.135515744000003
11,4,217.120345408,21.7120345408
12,4,217.85151431999998,21.785151432
13,4,210.823876432,21.0823876432
14,4,219.487439008,21.9487439008
15,4,221.45738690399997,22.145738690399998
16,4,221.96762708,22.196762708
17,4,222.880273168,22.2880273168
18,4,218.340713664,21.8340713664
19,4,214.79533347199998,21.4795333472
20,4,212.17574988799998,21.2175749888
21,4,207.5152056,20.751520560000003
22,4,197.98370870399998,19.7983708704
23,4,187.84202768,18.784202768
24,4,181.677063904,18.1677063904
1,5,97.137008142,9.713700814200001
2,5,93.28856696199999,9.328856696199999
3,5,91.024876888,9.1024876888
4,5,90.15435613199999,9.0154356132
5,5,90.821531306,9.0821531306
6,5,93.352427558,9.335242755800001
7,5,100.31155197999999,10.031155198
8,5,111.897208528,11.1897208528
9,5,126.76328305999999,12.676328306
10,5,135.04835512,13.504835512
11,5,138.73210318399998,13.873210318399998
12,5,139.19929385999998,13.919929386
13,5,134.708885636,13.470888563599999
14,5,140.24459098399998,14.0244590984
15,5,141.503316942,14.1503316942
16,5,141.82934208999998,14.182934208999999
17,5,142.412490164,14.2412490164
18,5,139.511874672,13.9511874672
19,5,137.246504056,13.7246504056
20,5,135.572684224,13.5572684224
21,5,132.59476379999998,13.259476379999999
22,5,126.504479592,12.650447959200001
23,5,120.02430964,12.002430964
24,5,116.085119192,11.6085119192
1,6,22.232114232,2.2232114232
