hour,bus_id,demandP,demandQ
1,1,209.59099515600002,20.959099515600002
2,1,201.77319286500003,20.177319286500005
3,1,197.43783040800002,19.743783040800004
4,1,195.114893679,19.5114893679
5,1,195.59834751600002,19.559834751600004
6,1,196.04642668200003,19.604642668200004
7,1,195.06772745100002,19.506772745100005
8,1,188.16966660600002,18.816966660600002
9,1,180.399030543,18.0399030543
10,1,173.89402159800002,17.389402159800003
11,1,173.70142616700002,17.370142616700004
12,1,168.88654039200003,16.888654039200002
13,1,167.91177168000002,16.791177168
14,1,170.423373321,17.0423373321
15,1,174.73908318300002,17.4739083183
16,1,182.76127246200002,18.2761272462
17,1,194.98518655200002,19.4985186552
18,1,208.69876734300001,20.869876734300004
19,1,219.25614137700003,21.925614137700006
20,1,226.731988515,22.673198851500004
21,1,229.23572911800002,22.923572911800004
22,1,225.74149772700002,22.574149772700004
23,1,220.903028838,22.090302883800003
24,1,215.109443832,21.510944383200002
1,2,185.84485812399998,18.5844858124
2,2,178.912793335,17.8912793335
3,2,175.068616632,17.5068616632
4,2,173.008862841,17.3008862841
5,2,173.43754256399998,17.3437542564
6,2,173.83485547799998,17.3834855478
7,2,172.96704042899998,17.2967040429
8,2,166.850512674,16.6850512674
9,2,159.960270297,15.9960270297
10,2,154.192262642,15.4192262642
11,2,154.021487793,15.402148779300001
12,2,149.752116568,14.975211656799999
13,2,148.88778671999998,14.888778671999999
14,2,151.11483015899998,15.1114830159
15,2,154.941580857,15.4941580857
16,2,162.054876098,16.2054876098
17,2,172.893851208,17.289385120800002
18,2,185.05371749699998,18.5053717497
19,2,194.414967383,19.441496738300003
20,2,201.043819685,20.1043819685
21,2,203.26389272199998,20.3263892722
22,2,200.165549033,20.0165549033
23,2,195.87526660199998,19.587526660199998
24,2,190.738080328,19.0738080328
1,3,237.632220416,23.763222041600002
2,3,228.76847264,22.876847264000002
3,3,223.85308108799998,22.3853081088
4,3,221.21935814399998,22.1219358144
5,3,221.767493376,22.1767493376
6,3,222.27552115199998,22.227552115199998
7,3,221.165881536,22.116588153600002
8,3,213.344927616,21.334492761600004
9,3,204.534656448,20.4534656448
10,3,197.159340928,19.7159340928
11,3,196.94097811199998,19.6940978112
12,3,191.48190771199998,19.1481907712
13,3,190.37672448,19.037672448000002
14,3,193.224353856,19.322435385600002
15,3,198.117463488,19.8117463488
16,3,207.212943232,20.7212943232
17,3,221.072297472,22.1072297472
18,3,236.620621248,23.662062124800002
19,3,248.590468672,24.8590468672
20,3,257.06651103999997,25.706651104
21,3,259.905227648,25.9905227648
22,3,255.943502272,25.5943502272
23,3,250.457693568,25.0457693568
24,3,243.88898355199998,24.3888983552
1,4,140.24766569599998,14.024766569599999
2,4,135.01638884,13.501638884
3,4,132.115384128,13.2115384128
4,4,130.560992664,13.0560992664
5,4,130.884495456,13.0884495456
6,4,131.184327312,13.1184327312
7,4,130.529431416,13.0529431416
8,4,125.913598896,12.5913598896
9,4,120.71388328799999,12.0713883288
10,4,116.36106116799999,11.6361061168
11,4,116.23218607199999,11.6232186072
12,4,113.010308672,11.3010308672
13,4,112.35804288,11.235804288
14,4,114.03867933599999,11.403867933599999
15,4,116.926533528,11.6926533528
16,4,122.29457579199999,12.2294575792
17,4,130.474199232,13.0474199232
18,4,139.65063208799998,13.965063208799998
19,4,146.71509143199998,14.671509143199998
20,4,151.71754923999998,15.171754923999998
21,4,153.392925488,15.339292548800001
22,4,151.05476303199998,15.1054763032
23,4,147.817105008,14.781710500800001
24,4,143.940331712,14.3940331712
1,5,89.61322160799999,8.9613221608
2,5,86.27062357,8.627062357
3,5,84.416985744,8.4416985744
4,5,83.423785422,8.3423785422
5,5,83.630492088,8.3630492088
6,5,83.82207387599999,8.3822073876
7,5,83.40361891799999,8.340361891799999
8,5,80.454267708,8.0454267708
9,5,77.131836174,7.7131836174
10,5,74.350539164,7.4350539164
11,5,74.268192606,7.4268192606
12,5,72.209528656,7.220952865600001
